Data;asset;quotation;quantity;value;average-price;value-average-price;recommendation-percentage;current-percentage;difference-percentage;fix;profit-percentage;profit-value
2025-11-30;BRCO11;117;16;1843;113;1778;0.04;0.04;0.00;2;0.04;66
2025-11-30;BTLG11;104;35;3631;102;3582;0.08;0.07;0.01;5;0.01;49
2025-11-30;CPTS11;8;638;4795;8;4782;0.11;0.09;0.01;78;0.00;13
2025-11-30;KNCR11;107;26;2783;104;2717;0.06;0.05;0.00;0;0.02;65
2025-11-30;KNSC11;9;142;1229;9;1239;0.03;0.02;0.00;6;-0.01;-10
2025-11-30;LVBI11;111;24;2693;108;2634;0.05;0.05;0.00;-1;0.02;59
2025-11-30;MCCI11;88;58;5064;89;5129;0.11;0.10;0.01;4;-0.01;-65
2025-11-30;PCIP11;83;41;3408;84;3460;0.06;0.07;-0.01;-4;-0.02;-52
2025-11-30;PVBI11;80;36;2879;75;2715;0.05;0.06;-0.01;-4;0.06;164
2025-11-30;RBRR11;84;57;4825;87;4971;0.10;0.09;0.01;3;-0.03;-147
2025-11-30;RBRX11;8;453;3542;7;3067;0.07;0.07;0.00;7;0.16;476
2025-11-30;VGIR11;9;246;2327;10;2354;0.02;0.05;-0.03;-134;-0.01;-27
2025-11-30;XPCI11;81;55;4425;83;4517;0.09;0.09;0.00;2;-0.02;-92
2025-11-30;XPLG11;104;23;2366;101;2284;0.05;0.05;0.00;-1;0.04;82
2025-11-30;XPML11;107;52;5513;105;5406;0.11;0.11;0.00;-1;0.02;107
2025-11-30;B3SA3;15;54;814;13;697;0.07;0.08;-0.01;-4;0.17;118
2025-11-30;BOVA11;156;7;1095;146;1025;0.10;0.10;0.00;0;0.07;70
2025-11-30;EGIE3;31;23;704;31;704;0.07;0.07;0.00;2;0.00;0
2025-11-30;ITUB4;42;45;1883;40;1778;0.18;0.17;0.01;1;0.06;105
2025-11-30;RDOR3;47;7;326;43;301;0.03;0.03;0.00;0;0.08;25
2025-11-30;RENT3;45;15;679;41;608;0.06;0.06;0.00;-1;0.12;70
2025-11-30;SMAL11;117;5;583;109;547;0.05;0.05;0.00;0;0.07;36
2025-11-30;SMFT3;26;16;420;25;400;0.04;0.04;0.00;0;0.05;20
2025-11-30;TOTS3;43;19;821;43;822;0.08;0.08;0.00;1;0.00;-1
2025-11-30;VALE3;68;26;1756;65;1680;0.16;0.16;0.00;0;0.05;77
2025-11-30;WEGE3;44;38;1683;43;1623;0.16;0.16;0.00;1;0.04;60
2025-12-26;BRCO11;119;23;2731;114;2621;0.05;0.05;0.00;0;0.04;110
2025-12-26;BTLG11;103;36;3708;102;3685;0.07;0.07;0.00;1;0.01;23
2025-12-26;CPTS11;8;729;5555;8;5468;0.11;0.10;0.00;24;0.02;87
2025-12-26;KNCR11;108;28;3012;104;2920;0.06;0.06;0.00;0;0.03;93
2025-12-26;KNSC11;9;142;1250;9;1238;0.02;0.02;-0.01;-47;0.01;11
2025-12-26;LVBI11;111;29;3228;109;3152;0.06;0.06;0.00;0;0.02;75
2025-12-26;MCCI11;92;63;5777;89;5594;0.11;0.11;0.00;0;0.03;183
2025-12-26;PCIP11;84;41;3450;84;3435;0.06;0.06;0.00;-2;0.00;15
2025-12-26;PVBI11;84;39;3266;76;2955;0.06;0.06;0.00;0;0.11;312
2025-12-26;RBRR11;87;62;5416;87;5377;0.10;0.10;0.00;1;0.01;38
2025-12-26;RBRX11;8;535;4430;7;3713;0.08;0.08;0.00;-8;0.19;717
2025-12-26;XPCI11;83;58;4809;83;4795;0.09;0.09;0.00;1;0.00;14
2025-12-26;XPLG11;105;23;2425;101;2318;0.05;0.04;0.00;0;0.05;107
2025-12-26;XPML11;108;52;5625;105;5456;0.11;0.10;0.00;1;0.03;169
2025-12-26;B3SA3;14;89;1221;14;1209;0.07;0.05;0.02;33;0.01;12
2025-12-26;BOVA11;158;12;1894;151;1814;0.10;0.08;0.02;3;0.04;80
2025-12-26;EGIE3;31;41;1282;31;1271;0.07;0.05;0.02;13;0.01;11
2025-12-26;ITUB4;39;80;3128;40;3177;0.18;0.13;0.05;30;-0.02;-49
2025-12-26;PSSA3;48;155;7406;48;7369;0.08;0.31;-0.23;-113;0.01;37
2025-12-26;RDOR3;41;12;497;44;526;0.03;0.02;0.01;5;-0.05;-29
2025-12-26;RENT3;45;25;1122;43;1087;0.06;0.05;0.01;7;0.03;35
2025-12-26;SMAL11;112;5;561;109;547;0.05;0.02;0.03;6;0.03;14
2025-12-26;SMFT3;23;28;653;25;697;0.04;0.03;0.01;12;-0.06;-44
2025-12-26;TOTS3;42;21;890;44;916;0.05;0.04;0.01;7;-0.03;-26
2025-12-26;VALE3;73;30;2194;65;1952;0.10;0.09;0.01;3;0.12;241
2025-12-26;WEGE3;49;66;3218;45;2986;0.16;0.13;0.03;14;0.08;232
2026-01-30;B3SA3;16;89;1437;14;1209;0.07;0.06;0.01;26;0.19;229
2026-01-30;BOVA11;178;12;2138;151;1814;0.10;0.08;0.02;3;0.18;324
2026-01-30;EGIE3;33;41;1344;31;1254;0.07;0.05;0.02;14;0.07;90
2026-01-30;ITUB4;46;80;3640;40;3177;0.18;0.14;0.04;24;0.15;463
2026-01-30;PSSA3;50;155;7682;48;7369;0.08;0.29;-0.21;-106;0.04;313
2026-01-30;RDOR3;42;12;509;44;526;0.03;0.02;0.01;6;-0.03;-18
2026-01-30;RENT3;48;25;1210;43;1087;0.06;0.05;0.01;7;0.11;123
2026-01-30;SMAL11;124;5;619;109;547;0.05;0.02;0.03;6;0.13;72
2026-01-30;SMFT3;22;28;620;25;697;0.04;0.02;0.02;15;-0.11;-77
2026-01-30;TOTS3;45;21;936;44;916;0.05;0.04;0.01;8;0.02;20
2026-01-30;VALE3;84;30;2530;65;1952;0.10;0.10;0.00;1;0.30;577
2026-01-30;WEGE3;52;66;3414;45;2986;0.16;0.13;0.03;15;0.14;428
2026-01-30;BRCO11;120;23;2750;114;2621;0.05;0.05;0.00;1;0.05;129
2026-01-30;BTLG11;103;36;3694;102;3685;0.06;0.07;-0.01;-3;0.00;9
2026-01-30;CPTS11;8;729;5956;8;5468;0.11;0.11;0.00;-5;0.09;488
2026-01-30;KNCR11;107;28;2995;104;2920;0.06;0.05;0.00;1;0.03;75
2026-01-30;KNSC11;9;142;1302;9;1238;0.02;0.02;-0.01;-49;0.05;64
2026-01-30;LVBI11;111;29;3233;109;3152;0.06;0.06;0.00;1;0.03;81
2026-01-30;MCCI11;95;63;5954;89;5594;0.11;0.11;0.00;0;0.06;360
2026-01-30;PCIP11;89;41;3637;84;3435;0.06;0.06;0.00;-3;0.06;202
2026-01-30;PVBI11;83;39;3256;76;2955;0.06;0.06;0.00;2;0.10;301
2026-01-30;RBRR11;90;62;5571;87;5377;0.10;0.10;0.00;1;0.04;194
2026-01-30;RBRX11;9;570;4851;7;4007;0.09;0.09;0.00;30;0.21;844
2026-01-30;XPCI11;86;58;4998;83;4795;0.09;0.09;0.00;1;0.04;203
2026-01-30;XPLG11;104;23;2392;101;2318;0.05;0.04;0.00;1;0.03;74
2026-01-30;XPML11;111;52;5759;105;5456;0.11;0.10;0.00;1;0.06;303
2026-02-27;BRCO11;124;23;2852;114;2621;0.05;0.05;0.00;0;0.09;231
2026-02-27;BTLG11;104;36;3733;102;3685;0.06;0.07;-0.01;-3;0.01;49
2026-02-27;CPTS11;8;729;5898;8;5468;0.11;0.11;0.00;-1;0.08;430
2026-02-27;KNCR11;107;28;3007;104;2920;0.06;0.05;0.00;1;0.03;87
2026-02-27;KNSC11;9;142;1305;9;1238;0.02;0.02;-0.01;-50;0.05;67
2026-02-27;LVBI11;111;29;3228;109;3152;0.06;0.06;0.00;1;0.02;76
2026-02-27;MCCI11;96;63;6042;89;5594;0.11;0.11;0.00;-2;0.08;448
2026-02-27;PCIP11;85;41;3476;84;3435;0.06;0.06;0.00;-1;0.01;40
2026-02-27;PVBI11;78;39;3060;76;2955;0.06;0.05;0.01;4;0.04;105
2026-02-27;RBRR11;90;62;5596;87;5377;0.10;0.10;0.00;0;0.04;218
2026-02-27;RBRX11;9;570;4891;7;4007;0.09;0.09;0.00;22;0.22;884
2026-02-27;XPCI11;84;58;4855;83;4795;0.09;0.09;0.00;2;0.01;59
2026-02-27;XPLG11;103;23;2372;101;2318;0.05;0.04;0.00;1;0.02;54
2026-02-27;XPML11;112;52;5815;105;5456;0.11;0.10;0.00;1;0.07;359
2026-02-27;B3SA3;18;89;1593;14;1209;0.05;0.06;-0.01;-16;0.32;384
2026-02-27;BOVA11;185;12;2222;151;1814;0.10;0.08;0.02;3;0.22;408
2026-02-27;EGIE3;34;41;1381;31;1254;0.07;0.05;0.02;14;0.10;127
2026-02-27;ITUB4;47;82;3836;39;3177;0.18;0.14;0.04;22;0.21;659
2026-02-27;PSSA3;52;155;8111;48;7369;0.08;0.30;-0.22;-110;0.10;742
